#Software: Microsoft Exchange Server
#Version: 15.0.0.0
#Log-type: SMTP Receive Protocol Log
#Date: 2020-04-02T08:00:14.532Z
#Fields: date-time,connector-id,session-id,sequence-number,local-endpoint,remote-endpoint,event,data,context
2020-04-02T08:29:00.104Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D5E,0,192.168.0.101:10587,90.30.30.30:58556,+,,
2020-04-02T08:29:00.105Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D5E,1,192.168.0.101:10587,90.30.30.30:58556,>,"220 mail.example.com Microsoft ESMTP MAIL Service ready at Thu, 2 Apr 2020 10:28:59 +0200",
2020-04-02T08:29:00.127Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D5E,2,192.168.0.101:10587,90.30.30.30:58556,<,EHLO User,
2020-04-02T08:29:00.128Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D5E,3,192.168.0.101:10587,90.30.30.30:58556,>,250  mail.example.com Hello [90.30.30.30] SIZE 37748736 PIPELINING DSN ENHANCEDSTATUSCODES STARTTLS AUTH LOGIN 8BITMIME BINARYMIME CHUNKING,
2020-04-02T08:29:00.151Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D5E,4,192.168.0.101:10587,90.30.30.30:58556,<,RSET,
2020-04-02T08:29:00.152Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D5E,5,192.168.0.101:10587,90.30.30.30:58556,*,Tarpit for '0.00:00:05' due to '250 2.0.0 Resetting',
2020-04-02T08:29:05.166Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D5E,6,192.168.0.101:10587,90.30.30.30:58556,>,250 2.0.0 Resetting,
2020-04-02T08:29:05.189Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D5E,7,192.168.0.101:10587,90.30.30.30:58556,<,AUTH LOGIN,
2020-04-02T08:29:05.189Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D5E,8,192.168.0.101:10587,90.30.30.30:58556,>,334 <authentication response>,
2020-04-02T08:29:05.212Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D5E,9,192.168.0.101:10587,90.30.30.30:58556,>,334 <authentication response>,
2020-04-02T08:29:05.241Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D5E,10,192.168.0.101:10587,90.30.30.30:58556,*,,Inbound AUTH LOGIN failed because of LogonDenied
2020-04-02T08:29:05.241Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D5E,11,192.168.0.101:10587,90.30.30.30:58556,*,,User Name: user@example.com
2020-04-02T08:29:05.241Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D5E,12,192.168.0.101:10587,90.30.30.30:58556,*,Tarpit for '0.00:00:05' due to '535 5.7.3 Authentication unsuccessful',
